Date_of_journey,Journey_day,Airline,Flight_code,Class,Source,Departure,Total_stops,Arrival,Destination,Duration_in_hours,Days_left,Fare
2023-01-26,Thursday,AllianceAir,9I-301,Economy,Hyderabad,6 AM - 12 PM,non-stop,6 AM - 12 PM,Mumbai,2.0833,11.0,4793.0
2023-02-11,Saturday,Indigo,6E-743,Economy,Hyderabad,Before 6 AM,1-stop,12 PM - 6 PM,Mumbai,7.0833,27.0,6616.0
2023-02-11,Saturday,Indigo,6E-6066,Economy,Hyderabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,6.9167,27.0,6763.0
2023-02-16,Thursday,Indigo,6E-7121,Economy,Hyderabad,6 AM - 12 PM,1-stop,12 PM - 6 PM,Mumbai,5.25,32.0,9307.0
2023-02-16,Thursday,Indigo,6E-7163,Economy,Hyderabad,6 AM - 12 PM,1-stop,6 AM - 12 PM,Mumbai,4.6667,32.0,13713.0
2023-01-16,Monday,AllianceAir,9I-518,Economy,Hyderabad,After 6 PM,non-stop,After 6 PM,Bangalore,1.5833,1.0,2499.0
2023-01-16,Monday,Indigo,6E-6505,Economy,Hyderabad,After 6 PM,non-stop,Before 6 AM,Bangalore,1.3333,1.0,2956.0
2023-01-16,Monday,AllianceAir,9I-895,Economy,Hyderabad,6 AM - 12 PM,non-stop,6 AM - 12 PM,Bangalore,1.5,1.0,3953.0
2023-01-16,Monday,Indigo,6E-6007,Economy,Hyderabad,After 6 PM,1-stop,6 AM - 12 PM,Bangalore,9.9167,1.0,7008.0
2023-01-16,Monday,Indigo,6E-7043,Economy,Hyderabad,After 6 PM,1-stop,Before 6 AM,Bangalore,4.5,1.0,8797.0
2023-01-16,Monday,Indigo,6E-7143,Economy,Hyderabad,12 PM - 6 PM,1-stop,After 6 PM,Bangalore,9.5,1.0,12988.0
2023-01-16,Monday,Indigo,6E-7211,Economy,Hyderabad,6 AM - 12 PM,1-stop,After 6 PM,Bangalore,7.5833,1.0,14194.0
2023-01-16,Monday,Indigo,6E-7213,Economy,Hyderabad,After 6 PM,1-stop,After 6 PM,Bangalore,5.0,1.0,14408.0
