flight_num,from,to
I5-764,Delhi,Bangalore
G8-392,Delhi,Bangalore
G8-336,Delhi,Bangalore
G8-338,Delhi,Bangalore
G8-143,Delhi,Bangalore
SG-8185,Delhi,Bangalore
SG-8946,Delhi,Bangalore
I5-784,Delhi,Bangalore
I5-747,Delhi,Bangalore
I5-744,Delhi,Bangalore
AI-542,Delhi,Bangalore
UK-995,Delhi,Bangalore
UK-951,Delhi,Bangalore
UK-945,Delhi,Bangalore
UK-927,Delhi,Bangalore
UK-963,Delhi,Bangalore
6E-2471,Delhi,Bangalore
6E-186,Delhi,Bangalore
AI-441,Delhi,Bangalore
AI-665,Delhi,Bangalore
UK-933,Delhi,Bangalore
G8-165,Delhi,Bangalore
AI-512,Delhi,Bangalore
G8-2513,Delhi,Bangalore
AI-415,Delhi,Bangalore
UK-953,Delhi,Bangalore
G8-131,Delhi,Bangalore
I5-775,Delhi,Bangalore
6E-2147,Delhi,Bangalore
6E-198,Delhi,Bangalore
AI-409,Delhi,Bangalore
G8-1404,Delhi,Bangalore
AI-431,Delhi,Bangalore
6E-152,Delhi,Bangalore
G8-133,Delhi,Bangalore
6E-6205,Delhi,Bangalore
6E-2247,Delhi,Bangalore
6E-2005,Delhi,Bangalore
I5-767,Delhi,Bangalore
I5-798,Delhi,Bangalore
I5-792,Delhi,Bangalore
I5-783,Delhi,Bangalore
AI-473,Delhi,Bangalore
UK-747,Delhi,Bangalore
UK-955,Delhi,Bangalore
AI-459,Delhi,Bangalore
UK-741,Delhi,Bangalore
SG-3002,Delhi,Bangalore
AI-839,Delhi,Bangalore
AI-467,Delhi,Bangalore
SG-143,Delhi,Bangalore
6E-2914,Delhi,Bangalore
6E-2901,Delhi,Bangalore
6E-788,Delhi,Bangalore
6E-2616,Delhi,Bangalore
6E-2338,Delhi,Bangalore
UK-705,Delhi,Bangalore
6E-369,Delhi,Bangalore
UK-673,Delhi,Bangalore
AI-762,Delhi,Bangalore
AI-764,Delhi,Bangalore
AI-9843,Delhi,Bangalore
AI-877,Delhi,Bangalore
I5-740,Delhi,Bangalore
UK-809,Delhi,Bangalore
G8-119,Delhi,Bangalore
6E-2336,Delhi,Bangalore
6E-2131,Delhi,Bangalore
I5-710,Delhi,Bangalore
I5-711,Delhi,Bangalore
G8-330,Delhi,Bangalore
G8-346,Delhi,Bangalore
G8-323,Delhi,Bangalore
SG-8938,Delhi,Bangalore
I5-768,Delhi,Bangalore
AI-560,Delhi,Bangalore
UK-985,Delhi,Bangalore
UK-977,Delhi,Bangalore
AI-805,Delhi,Bangalore
AI-624,Delhi,Bangalore
AI-868,Delhi,Bangalore
AI-636,Delhi,Bangalore
AI-544,Delhi,Bangalore
6E-2373,Delhi,Bangalore
G8-334,Delhi,Bangalore
G8-171,Delhi,Bangalore
AI-465,Delhi,Bangalore
6E-221,Delhi,Bangalore
G8-717,Delhi,Bangalore
SG-8721,Delhi,Bangalore
UK-637,Delhi,Bangalore
6E-2331,Delhi,Bangalore
SG-8645,Delhi,Bangalore
SG-8171,Delhi,Bangalore
AI-401,Delhi,Bangalore
AI-885,Delhi,Bangalore
SG-8411,Delhi,Bangalore
G8-286,Delhi,Bangalore
G8-113,Delhi,Bangalore
G8-300,Delhi,Bangalore
SG-8207,Delhi,Bangalore
G8-173,Delhi,Bangalore
AI-887,Delhi,Bangalore
6E-7403,Delhi,Bangalore
I5-779,Delhi,Bangalore
AI-9643,Delhi,Bangalore
6E-2769,Delhi,Bangalore
UK-847,Delhi,Bangalore
AI-807,Delhi,Bangalore
UK-871,Delhi,Bangalore
UK-879,Delhi,Bangalore
6E-5059,Delhi,Bangalore
6E-7407,Delhi,Bangalore
G8-101,Delhi,Bangalore
AI-411,Delhi,Bangalore
I5-787,Delhi,Bangalore
SG-5007,Delhi,Bangalore
SG-6001,Delhi,Bangalore
SG-534,Delhi,Bangalore
6E-2036,Delhi,Bangalore
I5-550,Delhi,Bangalore
UK-899,Delhi,Bangalore
UK-859,Delhi,Bangalore
AI-678,Delhi,Bangalore
UK-855,Delhi,Bangalore
AI-811,Delhi,Bangalore
UK-706,Delhi,Bangalore
AI-9887,Delhi,Bangalore
AI-767,Delhi,Bangalore
AI-423,Delhi,Bangalore
SG-5012,Delhi,Bangalore
UK-807,Delhi,Bangalore
UK-811,Delhi,Bangalore
I5-721,Delhi,Bangalore
G8-103,Delhi,Bangalore
SG-8941,Delhi,Bangalore
UK-829,Delhi,Bangalore
UK-993,Delhi,Bangalore
UK-975,Delhi,Bangalore
UK-941,Delhi,Bangalore
